MilliTime,Phase,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Temp,Pres,Alti,Lat,Lng,Distance,Azimuth,Angle,Direction
1722505552548,0.0,0.0,1.3034,10.29,-1.666,5.3656,8.569,-1.102,-164.0,126.0,6.0,43.1,1002.58,89.80164993418668,0.0,0.0,14469841.099452531,496.06480914387856,-76.48623620500258,0
1722505552605,0.0,0.0,1.2838,10.2214,-1.6856,0.6954,8.9832,1.216,-164.0,126.0,6.0,43.1,1002.46,89.96960346377604,0.0,0.0,14469841.099452531,496.06480914387856,-76.48623620500258,0
1722505552660,0.0,0.0,1.2838,10.2214,-1.6856,1.0032,5.0844,-1.4858,-162.0,125.0,5.0,43.1,1002.4,90.13755970649136,0.0,0.0,14469841.099452531,496.18395516518,-76.48623620500258,0
1722505552709,0.0,0.0,1.3034,10.0646,-1.7444,0.3724,8.5044,-2.261,-162.0,125.0,2.0,43.1,1002.4,90.47348033167881,0.0,0.0,14469841.099452531,496.18395516518,-76.48623620500258,0
1722505552759,0.0,0.0,1.4405999999999999,9.9568,-1.8718,0.9766,9.9332,-0.8702,-161.0,129.0,2.0,43.1,1002.46,90.72542792324177,0.0,0.0,14469841.099452531,497.2331812810156,-76.48623620500258,0
1722505552809,0.0,0.0,1.6463999999999999,9.9176,-1.9502,-4.7386,7.8888,0.2888,-161.0,126.0,3.0,43.1,1002.43,91.8172713769271,0.0,0.0,14469841.099452531,496.5770425318261,-76.48623620500258,0
1722505552858,0.0,0.0,1.5582,9.996,-1.6366,-6.061,1.2996,-0.3268,-162.0,126.0,3.0,43.1,1002.47,90.64144471434784,0.0,0.0,14469841.099452531,496.4049836510982,-76.48623620500258,0
1722505552908,0.0,0.0,1.519,10.0254,-1.5876,-2.5118,1.444,-5.5404,-162.0,129.0,1.0,43.1,1002.38,90.9773816203286,0.0,0.0,14469841.099452531,497.0601800148268,-76.48623620500258,0
1722505552957,0.0,0.0,1.519,10.0254,-1.5876,3.2832,3.7848,-3.4694,-163.0,129.0,1.0,43.1,1002.33,90.47348033167881,0.0,0.0,14469841.099452531,496.88848086198846,-76.48623620500258,0
1722505553006,0.0,0.0,1.519,10.2312,-1.5582,3.6214,5.1604,1.33,-163.0,128.0,1.0,43.1,1002.47,90.47348033167881,0.0,0.0,14469841.099452531,496.671699276228,-76.48623620500258,0
1722505553056,0.0,0.0,1.519,10.417399999999999,-1.421,2.3522,6.3536,7.8812,-161.0,128.0,1.0,43.1,1002.4,90.22153884530016,0.0,0.0,14469841.099452531,497.0157897170003,-76.48623620500258,0
1722505553106,0.0,0.0,1.3818,10.3194,-1.4112,0.9576,1.786,4.408,-159.0,130.0,1.0,43.1,1002.46,90.64144471434784,0.0,0.0,14469841.099452531,497.79977829885814,-76.48623620500258,0
1722505553156,0.0,0.0,1.4014,10.211599999999999,-1.5777999999999999,1.3946,-3.2946,0.4864,-159.0,130.0,1.0,43.1,1002.44,90.47348033167881,0.0,0.0,14469841.099452531,497.79977829885814,-76.48623620500258,0
1722505553206,0.0,0.0,1.4014,10.211599999999999,-1.5777999999999999,4.4726,-3.4846,-2.394,-161.0,130.0,1.0,43.1,1002.32,90.72542792324177,0.0,0.0,14469841.099452531,497.449259067183,-76.48623620500258,0
1722505553255,0.0,0.0,1.4896,10.1136,-1.7052,3.1768,-1.6948,-3.4162,-161.0,130.0,1.0,43.2,1002.43,90.89339637622231,0.0,0.0,14469841.099452531,497.449259067183,-76.48623620500258,0
1722505553305,0.0,0.0,1.5091999999999999,10.1822,-1.6856,0.798,-1.5048,-0.855,-163.0,129.0,2.0,43.1,1002.49,89.2138339450433,0.0,0.0,14469841.099452531,496.88848086198846,-76.48623620500258,0
1722505553356,0.0,0.0,1.5386,10.2312,-1.7738,-2.1584,-0.7258,0.2242,-163.0,129.0,2.0,43.1,1002.54,89.54972472669174,0.0,0.0,14469841.099452531,496.88848086198846,-76.48623620500258,0
1722505553407,0.0,0.0,1.3621999999999999,10.241,-1.7835999999999999,-3.4694,-1.8468,1.121,-165.0,128.0,2.0,43.1,1002.47,90.47348033167881,0.0,0.0,14469841.099452531,496.33279245093854,-76.48623620500258,0
1722505553457,0.0,0.0,1.2838,10.192,-1.7444,-5.6544,-2.6866,1.4858,-165.0,128.0,2.0,43.1,1002.38,90.13755970649136,0.0,0.0,14469841.099452531,496.33279245093854,-76.48623620500258,0
1722505553506,0.0,0.0,1.2838,10.192,-1.7444,-0.323,0.1368,0.2242,-163.0,127.0,1.0,43.1,1002.43,90.38949915787913,0.0,0.0,14469841.099452531,496.4536218223632,-76.48623620500258,0
1722505553556,0.0,0.0,1.1956,10.0548,-1.8032,5.9964,-2.0824,2.6713999999999998,-163.0,127.0,1.0,43.2,1002.57,90.38949915787913,0.0,0.0,14469841.099452531,496.4536218223632,-76.48623620500258,0
1722505553606,0.0,0.0,1.3719999999999999,9.9666,-1.911,6.3574,5.225,-1.9418,-164.0,129.0,2.0,43.1,1002.52,90.47348033167881,0.0,0.0,14469841.099452531,496.71807222611886,-76.48623620500258,0
1722505553656,0.0,0.0,1.3132,9.9078,-1.7835999999999999,1.463,4.8906,-2.9032,-164.0,129.0,2.0,43.2,1002.47,90.22153884530016,0.0,0.0,14469841.099452531,496.71807222611886,-76.48623620500258,0
1722505553705,0.0,0.0,1.3621999999999999,10.1332,-1.7346,-5.7266,3.6176,-3.0476,-163.0,130.0,0.0,43.2,1002.46,90.89339637622231,0.0,0.0,14469841.099452531,497.1039719445043,-76.48623620500258,0
1722505553755,0.0,0.0,1.3621999999999999,10.1332,-1.7346,-2.8994,4.5752,-0.855,-163.0,130.0,0.0,43.2,1002.57,90.13755970649136,0.0,0.0,14469841.099452531,497.1039719445043,-76.48623620500258,0
1722505553804,0.0,0.0,1.3719999999999999,10.29,-1.8424,-1.7062,5.0198,-3.3516,-167.0,129.0,-2.0,43.2,1002.43,89.80164993418668,0.0,0.0,14469841.099452531,496.2144746956037,-76.48623620500258,0
1722505553854,0.0,0.0,1.3426,10.3586,-1.6268,-2.147,5.4264,-1.3376,-167.0,129.0,-2.0,43.2,1002.51,90.38949915787913,0.0,0.0,14469841.099452531,496.2144746956037,-76.48623620500258,0
