MilliTime,Phase,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Temp,Pres,Alti,Lat,Lng,Distance,Azimuth,Angle,Direction
1741260508219,0.0,1.813,0.7742,9.4374,0.057,0.1292,0.2546,-2134.0,-520.0,450.0,39.1,1021.65,-69.70033833278066,0.0,0.0,14471098.391210658,444.8354013448584,-76.32513560874062,0
1741260508272,0.0,1.813,0.7742,9.4374,0.0114,-0.0456,0.0494,-2131.0,-525.0,450.0,39.1,1021.57,-69.53493714767836,0.0,0.0,14471098.391210658,444.6900392391734,-76.32513560874062,0
1741260508328,0.0,1.8032,0.7742,9.4178,-0.2052,-0.1254,0.1938,-2134.0,-528.0,447.0,39.1,1021.54,-69.53493714767836,0.0,0.0,14471098.391210658,444.63282368498466,-76.32513560874062,0
1741260508377,0.0,1.8032,0.7644,9.4374,-0.0874,0.1102,0.0266,-2134.0,-528.0,447.0,39.1,1021.53,-68.79059936815952,0.0,0.0,14471098.391210658,444.63282368498466,-76.32513560874062,0
1741260508428,0.0,1.8032,0.7742,9.4276,0.1862,-0.057,0.114,-2136.0,-525.0,449.0,39.1,1021.57,-69.94843519471154,0.0,0.0,14471098.391210658,444.7211947533264,-76.32513560874062,0
1741260508479,0.0,1.813,0.7742,9.4276,-0.266,-0.285,0.133,-2136.0,-525.0,449.0,39.1,1021.57,-68.79059936815952,0.0,0.0,14471098.391210658,444.7211947533264,-76.32513560874062,0
1741260508529,0.0,1.813,0.7742,9.4276,0.1102,0.4902,0.019,-2129.0,-521.0,446.0,39.1,1021.6,-68.70789189277389,0.0,0.0,14471098.391210658,444.7790601469974,-76.32513560874062,0
1741260508578,0.0,1.813,0.7742,9.4374,0.0532,-0.1368,0.0836,-2129.0,-521.0,446.0,39.2,1021.57,-68.95601235225197,0.0,0.0,14471098.391210658,444.7790601469974,-76.32513560874062,0
1741260508627,0.0,1.8032,0.7742,9.4374,-0.3648,0.0076,0.3344,-2134.0,-523.0,442.0,39.1,1021.56,-69.53493714767836,0.0,0.0,14471098.391210658,444.7593935226606,-76.32513560874062,0
1741260508677,0.0,1.8032,0.7742,9.4276,-0.209,0.0456,0.0418,-2134.0,-523.0,442.0,39.2,1021.59,-69.20412691187079,0.0,0.0,14471098.391210658,444.7593935226606,-76.32513560874062,0
1741260508728,0.0,1.8032,0.7742,9.4276,-0.0304,-0.3078,0.2584,-2129.0,-525.0,445.0,39.2,1021.62,-68.70789189277389,0.0,0.0,14471098.391210658,444.6775384043653,-76.32513560874062,0
1741260508777,0.0,1.8032,0.7742,9.4276,0.0608,-0.0608,0.0418,-2129.0,-525.0,445.0,39.2,1021.57,-69.28683045404644,0.0,0.0,14471098.391210658,444.6775384043653,-76.32513560874062,0
1741260508826,0.0,1.8032,0.7644,9.4276,-0.4826,0.0038,0.19,-2131.0,-521.0,444.0,39.2,1021.56,-69.45223557194531,0.0,0.0,14471098.391210658,444.79147653213613,-76.32513560874062,0
1741260508875,0.0,1.813,0.784,9.4178,-0.1938,-0.1292,-0.0228,-2131.0,-521.0,444.0,39.2,1021.62,-69.70033833278066,0.0,0.0,14471098.391210658,444.79147653213613,-76.32513560874062,0
1741260508925,0.0,1.8032,0.7742,9.4276,-0.2204,-0.3458,0.2242,-2132.0,-523.0,445.0,39.2,1021.6,-68.95601235225197,0.0,0.0,14471098.391210658,444.74696791866415,-76.32513560874062,0
1741260508974,0.0,1.8032,0.7742,9.4276,-0.4142,-0.0874,0.2774,-2132.0,-523.0,445.0,39.2,1021.62,-69.28683045404644,0.0,0.0,14471098.391210658,444.74696791866415,-76.32513560874062,0
1741260509024,0.0,1.8032,0.7742,9.4276,-0.2318,0.0038,0.2394,-2130.0,-527.0,446.0,39.2,1021.65,-69.03871786097848,0.0,0.0,14471098.391210658,444.63308500169603,-76.32513560874062,0
1741260509074,0.0,1.8032,0.7644,9.4276,0.1634,0.1938,-0.038,-2130.0,-527.0,446.0,39.2,1021.59,-68.45976553312153,0.0,0.0,14471098.391210658,444.63308500169603,-76.32513560874062,0
1741260509123,0.0,1.813,0.7742,9.4374,-0.1596,-0.0798,0.475,-2138.0,-525.0,444.0,39.2,1021.56,-69.45223557194531,0.0,0.0,14471098.391210658,444.7336184800966,-76.32513560874062,0
1741260509173,0.0,1.813,0.7742,9.4374,-0.0532,-0.0494,0.1786,-2138.0,-525.0,444.0,39.2,1021.59,-69.36953334074123,0.0,0.0,14471098.391210658,444.7336184800966,-76.32513560874062,0
1741260509224,0.0,1.813,0.784,9.4276,-0.0684,-0.2926,0.2052,-2131.0,-528.0,446.0,39.2,1021.62,-69.03871786097848,0.0,0.0,14471098.391210658,444.61401925987184,-76.32513560874062,0
1741260509274,0.0,1.8032,0.7742,9.408,-0.0114,0.1976,-0.057,-2131.0,-528.0,446.0,39.2,1021.61,-69.6176380679601,0.0,0.0,14471098.391210658,444.61401925987184,-76.32513560874062,0
